date,rf
2004-01-05,1.1831680341640798e-4
2004-01-06,1.1831680341640798e-4
2004-01-07,1.1831680341640798e-4
2004-01-08,1.1831680341640798e-4
2004-01-09,1.1750142350267292e-4
2004-01-12,1.1668598308360763e-4
2004-01-13,1.1668598308360763e-4
2004-01-14,1.1668598308360763e-4
2004-01-15,1.1587048215023184e-4
2004-01-16,1.1587048215023184e-4
2004-01-19,1.1587048215023184e-4
2004-01-20,1.1587048215023184e-4
2004-01-26,1.1532678123781924e-4
2004-01-27,1.1505492069356325e-4
2004-01-28,1.1478305342350114e-4
2004-01-29,1.1451117942729767e-4
2004-01-30,1.1451117942729767e-4
2004-02-02,1.1451117942729767e-4
2004-02-03,1.1423929870462004e-4
2004-02-04,1.1423929870462004e-4
2004-02-05,1.1396741125513296e-4
2004-02-06,1.1396741125513296e-4
2004-02-09,1.1233594527663254e-4
2004-02-10,1.1233594527663254e-4
2004-02-11,1.1233594527663254e-4
2004-02-12,1.1152012144851797e-4
2004-02-13,1.1152012144851797e-4
2004-02-16,1.1124816671265097e-4
2004-02-17,1.1043226212089492e-4
2004-02-18,1.0961629694591317e-4
2004-02-19,1.0934429508975926e-4
2004-02-20,1.0934429508975926e-4
2004-02-23,1.0934429508975926e-4
2004-02-24,1.0934429508975926e-4
2004-02-25,1.0934429508975926e-4
2004-02-26,1.0934429508975926e-4
2004-02-27,1.0934429508975926e-4
2004-03-02,1.0934429508975926e-4
2004-03-03,1.0934429508975926e-4
2004-03-04,1.0934429508975926e-4
2004-03-05,1.0880027117870806e-4
2004-03-08,1.0852824912314654e-4
2004-03-09,1.0852824912314654e-4
2004-03-10,1.0852824912314654e-4
2004-03-11,1.0825622033378244e-4
2004-03-12,1.0798418481028238e-4
2004-03-15,1.0771214255231052e-4
2004-03-16,1.0771214255231052e-4
2004-03-17,1.0771214255231052e-4
2004-03-18,1.0689597536825135e-4
2004-03-19,1.0662390616906727e-4
2004-03-22,1.0662390616906727e-4
2004-03-23,1.0607974756195984e-4
2004-03-24,1.0607974756195984e-4
2004-03-25,1.0607974756195984e-4
2004-03-26,1.0607974756195984e-4
2004-03-29,1.0607974756195984e-4
2004-03-30,1.0662390616906727e-4
2004-03-31,1.0662390616906727e-4
2004-04-01,1.0662390616906727e-4
2004-04-02,1.0662390616906727e-4
2004-04-06,1.0798418481028238e-4
2004-04-07,1.0798418481028238e-4
2004-04-08,1.0771214255231052e-4
2004-04-09,1.0689597536825135e-4
2004-04-12,1.0689597536825135e-4
2004-04-13,1.0689597536825135e-4
2004-04-14,1.0689597536825135e-4
2004-04-16,1.0689597536825135e-4
2004-04-19,1.0689597536825135e-4
2004-04-20,1.0689597536825135e-4
2004-04-21,1.0689597536825135e-4
2004-04-22,1.0689597536825135e-4
2004-04-23,1.0662390616906727e-4
2004-04-26,1.0662390616906727e-4
2004-04-27,1.0662390616906727e-4
2004-04-28,1.0662390616906727e-4
2004-04-29,1.0662390616906727e-4
2004-04-30,1.0662390616906727e-4
2004-05-03,1.0662390616906727e-4
2004-05-04,1.0662390616906727e-4
2004-05-06,1.0662390616906727e-4
2004-05-07,1.0662390616906727e-4
2004-05-10,1.0662390616906727e-4
2004-05-11,1.0662390616906727e-4
2004-05-12,1.0662390616906727e-4
2004-05-13,1.0662390616906727e-4
2004-05-14,1.0662390616906727e-4
2004-05-17,1.0662390616906727e-4
2004-05-18,1.0662390616906727e-4
2004-05-19,1.0662390616906727e-4
2004-05-20,1.0662390616906727e-4
2004-05-21,1.0662390616906727e-4
2004-05-24,1.0635183023374876e-4
2004-05-25,1.0635183023374876e-4
2004-05-27,1.0635183023374876e-4
2004-05-28,1.0635183023374876e-4
2004-05-31,1.0635183023374876e-4
2004-06-01,1.0635183023374876e-4
2004-06-02,1.0635183023374876e-4
2004-06-03,1.0607974756195984e-4
2004-06-04,1.0607974756195984e-4
2004-06-07,1.0607974756195984e-4
2004-06-08,1.0607974756195984e-4
2004-06-09,1.0607974756195984e-4
2004-06-10,1.0607974756195984e-4
2004-06-11,1.0635183023374876e-4
2004-06-14,1.0662390616906727e-4
2004-06-15,1.0662390616906727e-4
2004-06-16,1.0662390616906727e-4
2004-06-17,1.0744009355953825e-4
2004-06-18,1.0744009355953825e-4
2004-06-21,1.0744009355953825e-4
2004-06-22,1.0744009355953825e-4
2004-06-23,1.0744009355953825e-4
2004-06-24,1.0744009355953825e-4
2004-06-25,1.0744009355953825e-4
2004-06-28,1.0744009355953825e-4
2004-06-29,1.0744009355953825e-4
2004-06-30,1.0744009355953825e-4
2004-07-01,1.0744009355953825e-4
2004-07-02,1.0689597536825135e-4
2004-07-05,1.0689597536825135e-4
2004-07-06,1.0689597536825135e-4
2004-07-07,1.0689597536825135e-4
2004-07-08,1.0689597536825135e-4
2004-07-09,1.0689597536825135e-4
2004-07-12,1.0689597536825135e-4
2004-07-13,1.0689597536825135e-4
2004-07-14,1.0689597536825135e-4
2004-07-15,1.0689597536825135e-4
2004-07-16,1.0689597536825135e-4
2004-07-19,1.0662390616906727e-4
2004-07-20,1.0662390616906727e-4
